1,AO-01,0,Original,Advantage Care IPA,Central Health,MOU,HMO-FFS,(626)388-2300 ,http://www.chmso.org/index.htm,Active,3/24/2014,NULL,NULL,Advantage,Central Health,NULL,NULL,True,True,True,False,False,False,False,False,True,ALL,https://www.chmso.org/CCA/AIPA/Login.aspx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,488ac4aa-a684-4290-a406-c8fbd7f62b69
2,AO-02,0,Original,Alliance Desert IPA,EPIC Management,PSA,HMO-FFS,NULL,http://www.alliancedesertphysicians.com/,Active,2/1/2011,NULL,NULL,Alliance,Desert,EPIC,NULL,True,True,True,False,False,False,True,False,True,ALL,https://quickclaim.smart-data-solutions.com:8443/quickclaim/ELP/ELPIndex.html,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ea82522d-e961-4cb0-9818-718f596bbdce
3,AO-03,0,Original,Alphacare Medical Group,SynerMed,PSA,HMO-FFS,(626)817-9217,http://alphacaremedicalgroup.com/,Active,2/1/2013,NULL,NULL,Alpha Care,AlphaCare,Synermed,NULL,True,True,True,True,True,True,True,False,True,ALL,https://www.synermedconnect.com/#,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5a1846dd-c1bc-4c3d-b038-df5e30df415b
4,AO-04,0,Original,Anchor Medical Group,NULL,LOA,HMO-FFS,(909)726-6100,http://anchormedicalgroup.com/,Terminated,3/24/2014,12/23/2015,NULL,Anchor,AMG,NULL,NULL,True,True,True,False,False,False,False,False,False,N/A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,c7bf93d7-489c-43a8-8713-6a908a426ea0
5,AO-05,0,Original,Beaver Medical Group,EPIC Management,PSA,HMO-FFS,(626)388-2300,https://www.beavermedicalgroup.com/,Active,8/1/1995,NULL,NULL,Beaver,BMG,EPIC,NULL,True,True,False,True,False,False,True,False,True,Steroidal Only,https://quickclaim.smart-data-solutions.com:8443/quickclaim/ELP/ELPIndex.html,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,da1c374a-cf29-4fbe-8869-eb853473f235
6,AO-06,0,Original,Choice Medical Group,Choice Physicians Network,PSA,HMO-FFS,(800)316-7836,http://www.choicemg.com/,Active,1/1/2012,NULL,NULL,Choice,CMG,Horizon,HVMG,True,True,False,False,False,False,True,True,True,Steroidal Only,https://eznet.choicemg.com/EZ-NET60/Login.aspx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54353aff-81e9-455e-b2b7-ba7ac24792f8
7,AO-07,0,Original,Exclusive Care,County of Riverside,Interim LOA,EPO,(800)962-1133,http://www.exclusivecare.com/,Updated,12/1/2013,3/31/2014,3/31/2014,Exclusive,County,Riverside,NULL,True,True,True,True,True,True,True,True,True,Steroidal Only,https://www.exclusivecare.com/ForProviders/On-LineEligibilityVerification.aspx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,d457a1dc-556c-49e0-b567-1a9dcb8f9e12
8,AO-07,1,LOA Extension,Exclusive Care,County of Riverside,Interim LOA,EPO,(800)962-1133,http://www.exclusivecare.com/,Updated,4/1/2014,7/31/2014,7/31/2014,Exclusive,County,Riverside,NULL,True,True,True,True,True,True,True,True,True,Steroidal Only,https://www.exclusivecare.com/ForProviders/On-LineEligibilityVerification.aspx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2a2ff0d1-62a8-47a2-9583-b7123d6d4835
9,AO-07,2,Contract,Exclusive Care,County of Riverside,PSA,EPO,(800)962-1133,http://www.exclusivecare.com/,Active,8/1/2014,6/30/2019,NULL,Exclusive,County,Riverside,NULL,True,True,True,True,True,True,True,True,True,Steroidal Only,https://www.exclusivecare.com/ForProviders/On-LineEligibilityVerification.aspx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,fa4cbbfb-2348-4a2e-b5cc-2b2866b20422
10,AO-08,0,Original,Family Practice Medical Group,NULL,PSA,HMO-FFS,(909)883-8966,http://www.fpmgrp.org/,Active,9/1/2010,NULL,NULL,Family Practice,FPMG,NULL,NULL,True,True,True,False,False,False,False,False,True,Steroidal Only,http://www.fpmgrp.org/phydocs.php,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89e4d636-1669-429f-98c0-3c8bcd06f6f2
